id,username,score,time
1,testname,1210,2025-10-19 15:14:51
2,yanak1,1420,2025-10-19 15:39:51
3,manbo,1090,2025-10-19 15:53:00
4,YANAK1,420,2025-10-24 18:34:12
5,bombTest,360,2025-10-25 11:24:15
6,bombTest,2700,2025-10-25 11:25:51
7,easyNoBoss,190,2025-10-26 15:00:43
8,bossTest,2440,2025-10-26 15:38:55
9,boss,830,2025-10-26 15:40:48
10,easytest,200,2025-10-26 17:33:25
11,1234,40,2025-10-26 17:48:59
12,7890,3030,2025-10-26 17:51:20
13,hardEND,50,2025-10-26 17:58:51
14,hard124,5320,2025-10-26 18:01:21
15,hardFinal,1330,2025-10-26 18:13:40
16,Final,660,2025-10-26 18:22:41
17,easyMode,1130,2025-10-30 17:02:07
18,Normal,1200,2025-10-30 17:05:03
19,hardMode,1040,2025-10-30 17:08:39
20,EasyTest,1350,2025-10-30 17:13:24
21,NormalT,1330,2025-10-30 17:15:41
22,HardTest,1910,2025-10-30 17:18:24
23,TestUser,470,2025-11-23 16:12:47
24,TestUser,210,2025-11-23 16:13:27
25,TestUser,650,2025-11-23 16:14:18
26,TestUser,40,2025-11-23 16:14:37
